"","ï..Time","Time..pretty.","Total.Time","IP.Address","UID","Session.ID","Actions","Landing.page","Web.Browser","Operating.System","Screen.Resolution","JavaScript","Language","Referrer.URL","Referrer.Domain","Referrer.Search","Geolocation","Latitude","Longitude","Hostname","Organization","Campaign","Goals.completed","Goals.incompleted","Goal.revenue","Goal.cost","ShortURL","Custom","Stats.URL"
"2711",1597070588,"Mon Aug 10 2020, 10:43am",10,"21c6bba8c6943d8f",2037625012,4876582,1,"http://www.mshlwa7dek.org/egypt/v4wg.html","Google Chrome 83.0 mobile","Android","412x892",1,"English","","",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4876582"
"2712",1597070569,"Mon Aug 10 2020, 10:42am",550,"3883ddf332a6fb2a",892623326,4876563,3,"http://www.mshlwa7dek.org/egypt/v4wi.html","Google Chrome 84.0 mobile","Android","412x892",1,"Arabic","","",NA,"Egypt",30.0355,31.223,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4876563"
"2713",1597070501,"Mon Aug 10 2020, 10:41am",1729,"922187500d7e140c",501709178,4876496,6,"http://www.mshlwa7dek.org/egypt/v1wi.html","Google Chrome 84.0 mobile","Android","360x760",1,"Arabic","","",NA,"Cairo, Egypt",30.0778,31.2852,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4876496"
"2714",1597070485,"Mon Aug 10 2020, 10:41am",120,"34904d20a83a88b1",3491662060,4876480,1,"http://www.mshlwa7dek.org/egypt/v4wg.html","Google Chrome 84.0 mobile","Android","320x570",1,"Arabic","","",NA,"Banha, Egypt",30.4591,31.1786,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4876480"
"2715",1597070296,"Mon Aug 10 2020, 10:38am",240,"ca21fc669356f019",1905633044,4876296,1,"http://www.mshlwa7dek.org/egypt/v4wg.html","Google Chrome 84.0 mobile","Android","360x740",1,"Arabic","","",NA,"Egypt",30.0355,31.223,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4876296"
"2716",1597070273,"Mon Aug 10 2020, 10:37am",60,"4599037ecda120ae",1314331808,4876277,1,"http://www.mshlwa7dek.org/egypt/v4wg.html","Google Chrome 84.0 mobile","Android","360x640",1,"Arabic","","",NA,"Cairo, Egypt",30.0778,31.2852,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4876277"
"2717",1597070217,"Mon Aug 10 2020, 10:36am",241,"ae4c736a34220cfb",142669316,4876224,1,"http://www.mshlwa7dek.org/egypt/v3wi.html","Opera 44.1 mobile","Android","360x640",1,"Arabic","","",NA,"Shubra, Egypt",30.085,31.2387,"","Vodafone Egypt",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4876224"
"2718",1597070214,"Mon Aug 10 2020, 10:36am",10,"10685bdbd12edc51",3622339936,4876221,1,"http://www.mshlwa7dek.org/egypt/v4wi.html","Google Chrome 84.0 mobile","Android","360x780",1,"English","","",NA,"Cairo, Egypt",30.0778,31.2852,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4876221"
"2719",1597070207,"Mon Aug 10 2020, 10:36am",10,"042c6e8cee90bd4b",658612558,4876215,1,"http://www.mshlwa7dek.org/egypt/v4wi.html","Google Chrome 71.0 mobile","Android","360x640",1,"Arabic","","",NA,"Cairo, Egypt",30.0778,31.2852,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4876215"
"2720",1597070161,"Mon Aug 10 2020, 10:36am",10,"95038da3c7f9fdae",4158676542,4876173,1,"http://www.mshlwa7dek.org/egypt/v4wi.html","Google Chrome 79.0 mobile","Android","412x892",1,"English","","",NA,"Cairo, Egypt",30.0778,31.2852,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4876173"
"2721",1597069821,"Mon Aug 10 2020, 10:30am",166,"cbdd9819f3055b69",1138713066,4875833,1,"http://www.mshlwa7dek.org/egypt/v4wg.html","Google Chrome 84.0 mobile","Android","360x760",1,"Arabic","","",NA,"Egypt",30.0355,31.223,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4875833"
"2722",1597069788,"Mon Aug 10 2020, 10:29am",118,"e604721b9e0ed141",2800226610,4875804,2,"http://www.mshlwa7dek.org/egypt/v4wg.html","Google Chrome 71.0 mobile","Android","393x851",1,"Arabic","","",NA,"Cairo, Egypt",30.0778,31.2852,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4875804"
"2723",1597069735,"Mon Aug 10 2020, 10:28am",480,"5e5186e637aff373",657158090,4875766,1,"http://www.mshlwa7dek.org/egypt/v4wg.html","Google Chrome 78.0 mobile","Android","320x694",1,"Arabic","","",NA,"Assiut, Egypt",27.181,31.1837,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4875766"
"2724",1597069718,"Mon Aug 10 2020, 10:28am",10,"4c02377e72380700",3719926523,4875752,1,"http://www.mshlwa7dek.org/egypt/v2wg.html","Google Chrome 84.0 mobile","Android","360x800",1,"Arabic","","",NA,"Minya, Egypt",28.1099,30.7503,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4875752"
"2725",1597069682,"Mon Aug 10 2020, 10:28am",360,"2c88193419fc768f",160696842,4875711,1,"http://www.mshlwa7dek.org/egypt/v4wg.html","Google Chrome 78.0 mobile","Android","360x780",1,"Arabic","","",NA,"Cairo, Egypt",30.0778,31.2852,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4875711"
"2726",1597069660,"Mon Aug 10 2020, 10:27am",130,"7896d5bd87c87055",3225823118,4875689,3,"http://www.mshlwa7dek.org/egypt/v4wg.html","Google Chrome 84.0 mobile","Android","360x640",1,"Arabic","","",NA,"Cairo, Egypt",30.0778,31.2852,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4875689"
"2727",1597069560,"Mon Aug 10 2020, 10:26am",30,"97406f90894a2dae",3938284043,4875593,1,"http://www.mshlwa7dek.org/egypt/v4wg.html","Google Chrome 84.0 mobile","Android","360x780",1,"Arabic","","",NA,"Cairo, Egypt",30.0778,31.2852,"tedata.net","Telecom Egypt",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4875593"
"2728",1597069459,"Mon Aug 10 2020, 10:24am",360,"e6ed04074368e2af",1739409745,4875506,1,"http://www.mshlwa7dek.org/egypt/v4wi.html","Google Chrome 84.0 mobile","Android","360x720",1,"English","","",NA,"Cairo, Egypt",30.0778,31.2852,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4875506"
"2729",1597069298,"Mon Aug 10 2020, 10:21am",30,"805de7e4f62df4ab",1520009763,4875350,1,"http://www.mshlwa7dek.org/egypt/v4wg.html","Google Chrome 69.0 mobile","Android","1024x600",1,"Arabic","","",NA,"Cairo, Egypt",30.0778,31.2852,"tedata.net","Te Data",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4875350"
"2730",1597069283,"Mon Aug 10 2020, 10:21am",70,"b3408b1bea000718",109045340,4875328,1,"http://www.mshlwa7dek.org/egypt/v4wg.html","Google Chrome 71.0 mobile","Android","393x851",1,"English","","",NA,"Cairo, Egypt",30.0778,31.2852,"nile-online.net","Etisalat Misr",NA,NA,NA,NA,NA,NA,NA,"http://clicky.com/stats/visitors-actions?site_id=101268486&session_id=4875328"
