"","ResponseId","v1","assignment","should_exclude","responded","geometry","governatore"
"197","R_1E0gJDWh1RqHHjC",2140,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"198","R_1E0yhQaE7D9F0sX",581,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"199","R_1E0ztBcW63YVeQO",3547,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"200","R_1E4DjOcL4MJSl4l",1168,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"201","R_1E5y8O8xUxbHKuR",2835,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"202","R_1E6DWlHkizLVwKW",2254,"Remind_Show",0,1,c(30.7530975341797, 28.1112976074219),"Menia"
"203","R_1E72DMc8TKS84uG",2228,"Remind_Show",0,1,c(31.3007965087891, 29.8414001464844),"Cairo"
"204","R_1E73Es23eqBnerO",896,"Control",0,1,c(30.4716033935547, 31.0321044921875),"Behera"
"205","R_1EX5L98WHNuI48I",2563,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"206","R_1EX8YhENTIFD1Al",2595,"Remind_Show",0,1,c(31.0003967285156, 30.7866058349609),"Gharbia"
"207","R_1EZ3sDJe1RCmiLE",2447,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"208","R_1EZmTNUlp67nIwj",3498,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"209","R_1EZn21MXLuG3VeR",2652,"WhatsApp_Group",0,1,c(31.0003967285156, 30.7866058349609),"Gharbia"
"210","R_1EaQ0wRoDNt2Gld",490,"Facebook",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"211","R_1EbWJgpdcdVGqvk",101,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"212","R_1EbrYJwWTsJiHE8",4052,"Remind_Show",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"213","R_1EbvwtkQMfM271A",2493,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"214","R_1EgQ8hLMTkaOhp0",4189,"WhatsApp_Group",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"215","R_1Eh65yRTigkU6W7",3393,"Remind_Show",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"216","R_1EhTLfjrbNWTZhc",3263,"WhatsApp_Group",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"217","R_1EiF37BL5w4i95X",724,"Control",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"218","R_1EiKlafre3rlW32",1013,"Facebook",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
"219","R_1EieoOl0Vi02Bay",4018,"WhatsApp_Group",0,1,c(31.5021057128906, 26.7693023681641),"Suhag"
"220","R_1Eies8yctMgo3CJ",3592,"WhatsApp_Ind",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"221","R_1F32HpN1yOCwZRn",1783,"Remind_Show",0,1,c(31.3843994140625, 31.0370941162109),"Dakahlia"
"222","R_1F3McsKmH7iuOHH",3521,"WhatsApp_Ind",0,1,c(29.9528961181641, 31.2162017822266),"Alexandria"
"223","R_1F4UEbBLY1SQ3cY",3115,"WhatsApp_Ind",0,1,c(31.2852020263672, 30.0778045654297),"Cairo"
